"Country","cases","deads","mortality","deadsPER100k","casesPER100k","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","doctors_density","nursing_density"
"Egypt",104648,6062,5.8,6.16,102.26,32.9952418804169,5.28763681650162,60.0825130939484,68,35,42320,62610,-20290,-8.6,0.492,0.7,1.204e+12,22.5,"22.5","14",0.8,1.9271
"El Salvador",30196,894,3,13.92,465.54,63.7456119060516,7.22756013274193,29.1964501142502,76,180,5756,6751,-995,-3.6,0.521,0.667,5.117e+10,30,"30","13",1.57,1.8375
"Equatorial Guinea",5066,83,1.6,6.34,361.09,18.8326090574265,3.10709420591593,76.7920136451721,45,57,3186,3431,-245,-2.4,NA,NA,3.152e+10,NA,NA,NA,0.4,0.5024
"Estonia",3883,68,1.8,5.15,292.72,74.6641218662262,6.42935782670975,23.6646249890327,75,1195,9772,9890,-118,-0.5,0.818,0.882,4.165e+10,0,"20","20",3.46,6.5272
"Eswatini",5683,113,2,9.95,489.84,50.7453203201294,6.93037807941437,10.4967460036278,63,114,NA,NA,NA,NA,0.43,0.608,1.16e+10,27.5,"33","15",0.33,3.9394
"Ethiopia",85136,1301,1.5,1.19,74.05,24.9451786279678,3.50255742669106,34.4089895486832,39,6,12110,14630,-2520,-3.2,0.337,0.47,2.006e+11,NA,NA,NA,0.1,0.8286
"Finland",12212,346,2.8,6.27,220.4,76.7445921897888,9.20693874359131,20.2274233102798,78,3419,136800,140700,-3900,-1.6,0.876,0.925,2.449e+11,20,"56.85","24",NA,NA
"France",776097,32703,4.2,48.82,1188.99,77.0919501781464,11.3128922879696,9.38421934843063,78,3785,1334000,1412000,-78000,-3.1,0.809,0.891,2.856e+12,31,"45","20",3.26,11.162
"Gabon",8860,54,0.6,2.55,398.07,63.2851600646973,2.78074592351913,25.1563906669617,49,129,3122,3991,-869,-6,0.544,0.702,3.666e+10,35,"35","18",0.68,2.946
"Gambia",3636,118,3.2,5.18,150.46,22.8928819298744,3.2820712774992,22.0314085483551,44,5,187,370,-183,-17.6,0.293,0.466,5.556e+09,31,"30",NA,NA,NA
"Georgia",12272,93,0.8,2.49,307.63,37.2146517038345,7.60165899991989,54.7619044780731,66,109,4260,4852,-592,-3.9,0.692,0.786,3.985e+10,0,"20","18",6.13,4.8564
"Germany",332850,9640,2.9,11.62,397.27,77.6598811149597,11.2468346953392,12.6729190349579,83,4589,1665000,1619000,46000,1.3,0.861,0.939,4.199e+12,29.65,"47.475","19",4.25,13.2352
"Ghana",47030,308,0.7,1.03,151.35,33.4704041481018,3.26237045228481,40.2916967868805,47,22,9236,12380,-3144,-6.9,0.427,0.596,1.34e+11,NA,NA,"3",0.14,2.3519
"Greece",22652,456,2,4.25,217.33,60.1780295372009,8.04139003157616,34.7502082586288,75,903,95360,98080,-2720,-1.3,0.766,0.872,2.993e+11,28,"45","24",5.48,3.6331
"Guatemala",97826,3387,3.5,19.64,546.04,35.8447700738907,5.81384375691414,54.1341066360474,55,93,8335,9600,-1265,-1.8,0.472,0.651,1.381e+11,25,"7","12",0.36,0.0686
"Guinea",11062,70,0.6,0.56,84.23,17.1788886189461,4.12308685481548,56.6835463047028,37,6,1559,1868,-309,-3.4,0.31,0.466,2.797e+10,NA,NA,NA,NA,NA
"Guinea-Bissau",2389,41,1.7,2.19,121.39,8.19773748517036,7.23586902022362,72.0612049102783,40,4,226,213,-41,-3.2,0.288,0.461,3.171e+09,NA,NA,NA,NA,NA
